                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.84455,                 0.7002,                 1.2536,                0.82052,                0.81168,                0.79607,                0.61809,                  1.058,                 0.9146,                 1.3981,             0.00030909,             0.00030909,             0.00030909
                     56,                0.83742,                0.68759,                 1.2427,                0.82672,                0.80571,                0.80809,                0.63236,                 1.0247,                0.91417,                 1.3675,             0.00029939,             0.00029939,             0.00029939
                     57,                0.83943,                0.70036,                 1.2472,                0.82406,                0.80069,                0.79187,                0.62148,                 1.0338,                0.93075,                 1.3714,             0.00028969,             0.00028969,             0.00028969
                     58,                0.82092,                0.67018,                 1.2292,                0.81895,                0.81992,                0.80907,                0.63027,                 1.0234,                0.90146,                 1.3634,             0.00027999,             0.00027999,             0.00027999
                     59,                0.83269,                0.66691,                 1.2384,                0.83995,                0.80593,                 0.7966,                0.62922,                 1.0017,                0.90007,                 1.3488,             0.00027028,             0.00027028,             0.00027028
                     60,                0.81228,                0.66679,                 1.2269,                 0.8432,                0.79483,                 0.7953,                0.62605,                0.99198,                  0.906,                 1.3427,             0.00026058,             0.00026058,             0.00026058
                     61,                0.81067,                0.66192,                 1.2305,                0.80746,                0.80996,                0.79325,                0.62266,                 1.0254,                0.90136,                 1.3819,             0.00025088,             0.00025088,             0.00025088
                     62,                0.80137,                0.66254,                 1.2139,                  0.816,                0.81368,                0.79836,                0.62721,                 1.0233,                0.90784,                 1.3578,             0.00024118,             0.00024118,             0.00024118
                     63,                0.79957,                0.66929,                 1.2211,                0.81856,                0.80141,                0.79684,                0.62308,                 1.0173,                0.91828,                   1.37,             0.00023148,             0.00023148,             0.00023148
                     64,                0.79856,                0.65479,                 1.2194,                 0.8325,                0.81071,                0.79786,                0.62925,                0.99874,                0.89913,                  1.343,             0.00022177,             0.00022177,             0.00022177
                     65,                0.78373,                0.63594,                 1.2077,                0.82855,                0.79981,                0.80358,                0.62583,                 1.0094,                0.89736,                 1.3623,             0.00021207,             0.00021207,             0.00021207
                     66,                0.77649,                0.62856,                 1.2051,                0.83549,                0.80276,                 0.8078,                0.63022,                 1.0313,                0.91267,                  1.374,             0.00020237,             0.00020237,             0.00020237
                     67,                0.77182,                0.63427,                  1.204,                0.83069,                0.79529,                0.80536,                0.62751,                 1.0123,                0.89556,                 1.3669,             0.00019267,             0.00019267,             0.00019267
                     68,                0.77706,                0.62172,                 1.2015,                 0.8232,                0.80354,                0.79172,                0.61798,                 1.0168,                0.87899,                  1.359,             0.00018297,             0.00018297,             0.00018297
                     69,                0.76574,                0.62171,                 1.1931,                0.84243,                0.80021,                0.80308,                0.62481,                 0.9997,                0.89764,                 1.3547,             0.00017326,             0.00017326,             0.00017326
                     70,                0.75326,                0.60219,                 1.1815,                0.83123,                0.80825,                0.79859,                0.62151,                  1.015,                0.90287,                 1.3608,             0.00016356,             0.00016356,             0.00016356
                     71,                 0.7505,                0.61933,                   1.19,                0.83939,                0.78404,                 0.7992,                0.62475,                 1.0067,                0.89649,                  1.354,             0.00015386,             0.00015386,             0.00015386
                     72,                0.75837,                0.61038,                 1.1828,                0.84246,                0.79975,                0.80898,                0.63395,                 0.9947,                0.88927,                 1.3375,             0.00014416,             0.00014416,             0.00014416
                     73,                0.74678,                 0.6063,                 1.1893,                0.82074,                0.81175,                0.80471,                0.62766,                 1.0129,                0.90269,                 1.3539,             0.00013446,             0.00013446,             0.00013446
                     74,                0.73949,                0.59121,                 1.1746,                0.86176,                0.77649,                0.80685,                0.63242,                 1.0096,                0.87245,                 1.3621,             0.00012475,             0.00012475,             0.00012475
                     75,                0.73497,                0.58964,                 1.1734,                 0.8394,                0.79988,                0.80549,                0.62956,                 1.0037,                0.86866,                 1.3692,             0.00011505,             0.00011505,             0.00011505
                     76,                0.75256,                0.52785,                 1.1908,                0.85055,                0.79967,                 0.8035,                0.63049,                 1.0043,                0.87444,                 1.3687,             0.00010535,             0.00010535,             0.00010535
                     77,                0.73436,                0.51237,                 1.1819,                0.83141,                 0.7948,                0.80465,                0.63031,                  1.003,                0.89692,                 1.3656,             9.5648e-05,             9.5648e-05,             9.5648e-05
                     78,                0.72331,                0.50289,                 1.1748,                0.82325,                0.80809,                0.80465,                0.62946,                 1.0037,                0.87892,                 1.3744,             8.5946e-05,             8.5946e-05,             8.5946e-05
                     79,                0.71721,                0.49864,                 1.1712,                0.83071,                0.81318,                0.80783,                0.63304,                0.99732,                0.88058,                 1.3747,             7.6244e-05,             7.6244e-05,             7.6244e-05
                     80,                0.70615,                0.49667,                 1.1608,                0.82901,                0.79324,                0.80404,                0.63475,                 1.0042,                0.90628,                 1.3679,             6.6542e-05,             6.6542e-05,             6.6542e-05
                     81,                0.69485,                0.47785,                 1.1469,                 0.8346,                0.79626,                0.80645,                0.63672,                 1.0003,                0.89882,                 1.3674,              5.684e-05,              5.684e-05,              5.684e-05
                     82,                0.69221,                0.47025,                 1.1431,                0.84481,                 0.8012,                0.80529,                0.64086,                 0.9906,                0.88317,                 1.3626,             4.7138e-05,             4.7138e-05,             4.7138e-05
                     83,                0.68942,                0.47583,                 1.1508,                0.84393,                0.79419,                0.80348,                0.63678,                0.98869,                0.88761,                 1.3582,             3.7436e-05,             3.7436e-05,             3.7436e-05
                     84,                0.67068,                0.46749,                 1.1288,                 0.8177,                0.81752,                0.80076,                0.63667,                0.99631,                0.89957,                 1.3741,             2.7734e-05,             2.7734e-05,             2.7734e-05
                     85,                0.67487,                0.46116,                 1.1327,                0.83713,                0.80452,                0.80017,                0.63561,                 1.0016,                0.90654,                 1.3753,             1.8032e-05,             1.8032e-05,             1.8032e-05
